cycle,link,kind,inject,inFlight,sources,conflict_free
0,"(0,0)->(1,0)",H,0,0,—,1
0,"(1,0)->(0,0)",H,0,0,—,1
0,"(1,0)->(2,0)",H,0,0,—,1
0,"(2,0)->(1,0)",H,0,0,—,1
0,"(2,0)->(3,0)",H,0,0,—,1
0,"(3,0)->(2,0)",H,0,0,—,1
0,"(3,0)->(4,0)",H,0,0,—,1
0,"(4,0)->(3,0)",H,0,0,—,1
0,"(4,0)->(5,0)",H,0,0,—,1
0,"(5,0)->(4,0)",H,0,0,—,1
0,"(0,1)->(1,1)",H,0,0,—,1
0,"(1,1)->(0,1)",H,0,0,—,1
0,"(1,1)->(2,1)",H,0,0,—,1
0,"(2,1)->(1,1)",H,0,0,—,1
0,"(2,1)->(3,1)",H,0,0,—,1
0,"(3,1)->(2,1)",H,0,0,—,1
0,"(3,1)->(4,1)",H,0,0,—,1
0,"(4,1)->(3,1)",H,0,0,—,1
0,"(4,1)->(5,1)",H,0,0,—,1
0,"(5,1)->(4,1)",H,0,0,—,1
0,"(0,2)->(1,2)",H,0,0,—,1
0,"(1,2)->(0,2)",H,0,0,—,1
0,"(1,2)->(2,2)",H,0,0,—,1
0,"(2,2)->(1,2)",H,0,0,—,1
0,"(2,2)->(3,2)",H,0,0,—,1
0,"(3,2)->(2,2)",H,0,0,—,1
0,"(3,2)->(4,2)",H,0,0,—,1
0,"(4,2)->(3,2)",H,0,0,—,1
0,"(4,2)->(5,2)",H,0,0,—,1
0,"(5,2)->(4,2)",H,0,0,—,1
0,"(0,3)->(1,3)",H,0,0,—,1
0,"(1,3)->(0,3)",H,0,0,—,1
0,"(1,3)->(2,3)",H,0,0,—,1
0,"(2,3)->(1,3)",H,0,0,—,1
0,"(2,3)->(3,3)",H,0,0,—,1
0,"(3,3)->(2,3)",H,0,0,—,1
0,"(3,3)->(4,3)",H,0,0,—,1
0,"(4,3)->(3,3)",H,0,0,—,1
0,"(4,3)->(5,3)",H,0,0,—,1
0,"(5,3)->(4,3)",H,0,0,—,1
0,"(0,4)->(1,4)",H,0,0,—,1
0,"(1,4)->(0,4)",H,0,0,—,1
0,"(1,4)->(2,4)",H,0,0,—,1
0,"(2,4)->(1,4)",H,0,0,—,1
0,"(2,4)->(3,4)",H,0,0,—,1
0,"(3,4)->(2,4)",H,0,0,—,1
0,"(3,4)->(4,4)",H,0,0,—,1
0,"(4,4)->(3,4)",H,0,0,—,1
0,"(4,4)->(5,4)",H,0,0,—,1
0,"(5,4)->(4,4)",H,0,0,—,1
0,"(0,5)->(1,5)",H,0,0,—,1
0,"(1,5)->(0,5)",H,0,0,—,1
0,"(1,5)->(2,5)",H,0,0,—,1
0,"(2,5)->(1,5)",H,0,0,—,1
0,"(2,5)->(3,5)",H,0,0,—,1
0,"(3,5)->(2,5)",H,0,0,—,1
0,"(3,5)->(4,5)",H,0,0,—,1
0,"(4,5)->(3,5)",H,0,0,—,1
0,"(4,5)->(5,5)",H,0,0,—,1
0,"(5,5)->(4,5)",H,0,0,—,1
0,"(0,6)->(1,6)",H,0,0,—,1
0,"(1,6)->(0,6)",H,0,0,—,1
0,"(1,6)->(2,6)",H,0,0,—,1
0,"(2,6)->(1,6)",H,0,0,—,1
0,"(2,6)->(3,6)",H,0,0,—,1
0,"(3,6)->(2,6)",H,0,0,—,1
0,"(3,6)->(4,6)",H,0,0,—,1
0,"(4,6)->(3,6)",H,0,0,—,1
0,"(4,6)->(5,6)",H,0,0,—,1
0,"(5,6)->(4,6)",H,0,0,—,1
0,"(0,7)->(1,7)",H,0,0,—,1
0,"(1,7)->(0,7)",H,0,0,—,1
0,"(1,7)->(2,7)",H,0,0,—,1
0,"(2,7)->(1,7)",H,0,0,—,1
0,"(2,7)->(3,7)",H,0,0,—,1
0,"(3,7)->(2,7)",H,0,0,—,1
0,"(3,7)->(4,7)",H,0,0,—,1
0,"(4,7)->(3,7)",H,0,0,—,1
0,"(4,7)->(5,7)",H,0,0,—,1
0,"(5,7)->(4,7)",H,0,0,—,1
0,"(0,0)->(0,1)",V,0,0,—,1
0,"(0,1)->(0,0)",V,0,0,—,1
0,"(0,1)->(0,2)",V,0,0,—,1
0,"(0,2)->(0,1)",V,0,0,—,1
0,"(0,2)->(0,3)",V,0,0,—,1
0,"(0,3)->(0,2)",V,0,0,—,1
0,"(0,3)->(0,4)",V,0,0,—,1
0,"(0,4)->(0,3)",V,0,0,—,1
0,"(0,4)->(0,5)",V,0,0,—,1
0,"(0,5)->(0,4)",V,0,0,—,1
0,"(0,5)->(0,6)",V,0,0,—,1
0,"(0,6)->(0,5)",V,0,0,—,1
0,"(0,6)->(0,7)",V,0,0,—,1
0,"(0,7)->(0,6)",V,0,0,—,1
0,"(1,0)->(1,1)",V,0,0,—,1
0,"(1,1)->(1,0)",V,0,0,—,1
0,"(1,1)->(1,2)",V,0,0,—,1
0,"(1,2)->(1,1)",V,0,0,—,1
0,"(1,2)->(1,3)",V,0,0,—,1
0,"(1,3)->(1,2)",V,0,0,—,1
0,"(1,3)->(1,4)",V,0,0,—,1
0,"(1,4)->(1,3)",V,0,0,—,1
0,"(1,4)->(1,5)",V,0,0,—,1
0,"(1,5)->(1,4)",V,0,0,—,1
0,"(1,5)->(1,6)",V,0,0,—,1
0,"(1,6)->(1,5)",V,0,0,—,1
0,"(1,6)->(1,7)",V,0,0,—,1
0,"(1,7)->(1,6)",V,0,0,—,1
0,"(2,0)->(2,1)",V,0,0,—,1
0,"(2,1)->(2,0)",V,0,0,—,1
0,"(2,1)->(2,2)",V,0,0,—,1
0,"(2,2)->(2,1)",V,0,0,—,1
0,"(2,2)->(2,3)",V,0,0,—,1
0,"(2,3)->(2,2)",V,0,0,—,1
0,"(2,3)->(2,4)",V,0,0,—,1
0,"(2,4)->(2,3)",V,0,0,—,1
0,"(2,4)->(2,5)",V,0,0,—,1
0,"(2,5)->(2,4)",V,0,0,—,1
0,"(2,5)->(2,6)",V,0,0,—,1
0,"(2,6)->(2,5)",V,0,0,—,1
0,"(2,6)->(2,7)",V,0,0,—,1
0,"(2,7)->(2,6)",V,0,0,—,1
0,"(3,0)->(3,1)",V,0,0,—,1
0,"(3,1)->(3,0)",V,0,0,—,1
0,"(3,1)->(3,2)",V,0,0,—,1
0,"(3,2)->(3,1)",V,0,0,—,1
0,"(3,2)->(3,3)",V,0,0,—,1
0,"(3,3)->(3,2)",V,0,0,—,1
0,"(3,3)->(3,4)",V,0,0,—,1
0,"(3,4)->(3,3)",V,0,0,—,1
0,"(3,4)->(3,5)",V,0,0,—,1
0,"(3,5)->(3,4)",V,0,0,—,1
0,"(3,5)->(3,6)",V,0,0,—,1
0,"(3,6)->(3,5)",V,0,0,—,1
0,"(3,6)->(3,7)",V,0,0,—,1
0,"(3,7)->(3,6)",V,0,0,—,1
0,"(4,0)->(4,1)",V,0,0,—,1
0,"(4,1)->(4,0)",V,0,0,—,1
0,"(4,1)->(4,2)",V,0,0,—,1
0,"(4,2)->(4,1)",V,0,0,—,1
0,"(4,2)->(4,3)",V,0,0,—,1
0,"(4,3)->(4,2)",V,0,0,—,1
0,"(4,3)->(4,4)",V,0,0,—,1
0,"(4,4)->(4,3)",V,0,0,—,1
0,"(4,4)->(4,5)",V,0,0,—,1
0,"(4,5)->(4,4)",V,0,0,—,1
0,"(4,5)->(4,6)",V,0,0,—,1
0,"(4,6)->(4,5)",V,0,0,—,1
0,"(4,6)->(4,7)",V,0,0,—,1
0,"(4,7)->(4,6)",V,0,0,—,1
0,"(5,0)->(5,1)",V,0,0,—,1
0,"(5,1)->(5,0)",V,0,0,—,1
0,"(5,1)->(5,2)",V,0,0,—,1
0,"(5,2)->(5,1)",V,0,0,—,1
0,"(5,2)->(5,3)",V,0,0,—,1
0,"(5,3)->(5,2)",V,0,0,—,1
0,"(5,3)->(5,4)",V,0,0,—,1
0,"(5,4)->(5,3)",V,0,0,—,1
0,"(5,4)->(5,5)",V,0,0,—,1
0,"(5,5)->(5,4)",V,0,0,—,1
0,"(5,5)->(5,6)",V,0,0,—,1
0,"(5,6)->(5,5)",V,0,0,—,1
0,"(5,6)->(5,7)",V,0,0,—,1
0,"(5,7)->(5,6)",V,0,0,—,1
1,"(0,0)->(1,0)",H,1,1,0,1
1,"(1,0)->(0,0)",H,1,1,1,1
1,"(1,0)->(2,0)",H,1,1,1,1
1,"(2,0)->(1,0)",H,1,1,2,1
1,"(2,0)->(3,0)",H,1,1,2,1
1,"(3,0)->(2,0)",H,1,1,3,1
1,"(3,0)->(4,0)",H,1,1,3,1
1,"(4,0)->(3,0)",H,1,1,4,1
1,"(4,0)->(5,0)",H,1,1,4,1
1,"(5,0)->(4,0)",H,1,1,5,1
1,"(0,1)->(1,1)",H,1,1,6,1
1,"(1,1)->(0,1)",H,1,1,7,1
1,"(1,1)->(2,1)",H,1,1,7,1
1,"(2,1)->(1,1)",H,1,1,8,1
1,"(2,1)->(3,1)",H,1,1,8,1
