cycle,max_inject,max_inFlight,max_eject,conflict_free,pipelined
0,0,0,0,1,0
1,1,1,0,1,0
2,0,1,0,1,0
3,0,1,0,1,0
4,0,1,0,1,0
5,1,2,1,1,1
6,1,3,1,1,1
7,0,3,0,1,1
8,0,3,0,1,1
9,1,3,1,1,1
10,1,4,1,1,1
11,1,5,1,1,1
12,0,5,1,1,1
13,1,5,1,1,1
14,1,5,1,1,1
15,1,6,1,1,1
16,0,6,1,1,1
17,1,6,1,1,1
18,1,6,1,1,1
19,1,6,1,1,1
20,0,6,1,1,1
21,1,6,1,1,1
22,1,6,1,1,1
23,1,6,1,1,1
24,0,6,1,1,1
25,1,6,1,1,1
26,1,6,1,1,1
27,1,6,1,1,1
28,0,6,1,1,1
29,1,6,1,1,1
30,1,6,1,1,1
31,1,6,1,1,1
32,0,6,1,1,1
33,1,6,1,1,1
34,1,6,1,1,1
35,1,6,1,1,1
36,0,6,1,1,1
37,1,6,1,1,1
38,1,6,1,1,1
39,1,6,1,1,1
40,0,6,1,1,1
41,1,6,1,1,1
42,1,6,1,1,1
43,1,6,1,1,1
44,0,6,1,1,1
45,1,6,1,1,1
46,1,6,1,1,1
47,1,6,1,1,1
48,0,6,1,1,1
49,1,6,1,1,1
50,1,6,1,1,1
51,1,6,1,1,1
52,0,6,1,1,1
53,1,6,1,1,1
54,1,6,1,1,1
55,1,6,1,1,1
56,0,6,1,1,1
57,1,6,1,1,1
58,1,6,1,1,1
59,0,5,1,1,1
60,0,5,0,1,1
61,1,5,1,1,1
62,1,5,1,1,1
63,0,4,1,1,1
64,0,4,0,1,1
65,1,4,1,1,1
66,0,3,1,1,1
67,0,3,0,1,1
68,0,3,0,1,1
69,1,3,1,1,1
70,0,2,1,1,1
71,0,2,0,1,1
72,0,2,0,1,1
73,0,1,1,1,0
74,0,1,0,1,0
75,0,1,0,1,0
76,0,1,0,1,0
77,0,0,1,1,0
78,0,0,0,1,0
