scheme,M,fault_class,region,detail,fault_desc,feasible,ring_is_cycle,ring_len,sacrificed,makespan,golden_makespan,slowdown_pct,ok,theo_bound,efficiency,root,phase_reduce_end,reason
tree_reduce_bcast,1,healthy,-,-,healthy mesh,yes,True,256,0,197,197,0.0,True,212,0.9292,136,,golden
tree_reduce_bcast,6,healthy,-,-,healthy mesh,yes,True,256,0,212,212,0.0,True,217,0.9770,136,,golden
tree_reduce_bcast,1,link,corner,1,"1 link fault(s) @ corner: (1,0)-(1,1)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,corner,1,"1 link fault(s) @ corner: (1,0)-(1,1)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,corner,2,"2 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,corner,2,"2 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,corner,3,"3 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1), (1,1)-(2,1)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,corner,3,"3 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1), (1,1)-(2,1)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,edge,1,"1 link fault(s) @ edge: (8,0)-(8,1)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,edge,1,"1 link fault(s) @ edge: (8,0)-(8,1)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,edge,2,"2 link fault(s) @ edge: (8,0)-(8,1), (9,0)-(9,1)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,edge,2,"2 link fault(s) @ edge: (8,0)-(8,1), (9,0)-(9,1)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,edge,3,"3 link fault(s) @ edge: (8,0)-(8,1), (9,0)-(9,1), (8,1)-(9,1)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,edge,3,"3 link fault(s) @ edge: (8,0)-(8,1), (9,0)-(9,1), (8,1)-(9,1)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,center,1,"1 link fault(s) @ center: (8,8)-(8,9)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,center,1,"1 link fault(s) @ center: (8,8)-(8,9)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,center,2,"2 link fault(s) @ center: (8,8)-(8,9), (9,8)-(9,9)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,center,2,"2 link fault(s) @ center: (8,8)-(8,9), (9,8)-(9,9)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,link,center,3,"3 link fault(s) @ center: (8,8)-(8,9), (9,8)-(9,9), (8,8)-(9,8)",yes,True,256,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian cycle recovered
tree_reduce_bcast,6,link,center,3,"3 link fault(s) @ center: (8,8)-(8,9), (9,8)-(9,9), (8,8)-(9,8)",yes,True,256,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian cycle recovered
tree_reduce_bcast,1,node,corner,1x1,"1x1 node hole @ corner anchor (0,0)",yes,False,255,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian path recovered (colour imbalance or no surviving cycle)
tree_reduce_bcast,6,node,corner,1x1,"1x1 node hole @ corner anchor (0,0)",yes,False,255,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian path recovered (colour imbalance or no surviving cycle)
tree_reduce_bcast,1,node,edge,1x1,"1x1 node hole @ edge anchor (8,0)",yes,False,255,0,197,197,0.0,True,212,0.9292,119,114,Hamiltonian path recovered (colour imbalance or no surviving cycle)
tree_reduce_bcast,6,node,edge,1x1,"1x1 node hole @ edge anchor (8,0)",yes,False,255,0,212,212,0.0,True,217,0.9770,119,124,Hamiltonian path recovered (colour imbalance or no surviving cycle)
