collective,msg_size,fault_desc,makespan,period,theo_bound,efficiency,feasible
broadcast,1,healthy,166,1,166,1.0000,1
broadcast,4,healthy,172,4,169,0.9826,1
broadcast,16,healthy,196,16,181,0.9235,1
broadcast,64,healthy,292,64,229,0.7842,1
reduce,1,healthy,166,1,166,1.0000,1
reduce,4,healthy,169,4,169,1.0000,1
reduce,16,healthy,181,16,181,1.0000,1
reduce,64,healthy,229,64,229,1.0000,1
gather,1,healthy,205,191,205,1.0000,1
gather,4,healthy,769,764,769,1.0000,1
gather,16,healthy,3061,3056,3061,1.0000,1
gather,64,healthy,12229,12224,12229,1.0000,1
allgather,1,healthy,371,191,371,1.0000,1
allgather,4,healthy,941,764,938,0.9968,1
allgather,16,healthy,3235,3056,3056,0.9447,1
allgather,64,healthy,12451,12224,12224,0.9818,1
allreduce,1,healthy,323,1,332,1.0279,1
allreduce,4,healthy,332,4,335,1.0090,1
allreduce,16,healthy,344,16,347,1.0087,1
allreduce,64,healthy,391,64,395,1.0102,1
alltoall,1,healthy,929,764,764,0.8224,1
alltoall,4,healthy,3218,3056,3056,0.9497,1
alltoall,16,healthy,12224,12224,12224,1.0000,1
alltoall,64,healthy,48896,48896,48896,1.0000,1
anytoany,1,healthy,360,764,764,2.1222,1
anytoany,4,healthy,897,3056,3056,3.4069,1
anytoany,16,healthy,12224,12224,12224,1.0000,1
anytoany,64,healthy,48896,48896,48896,1.0000,1
broadcast,16,node_corner_1,192,16,181,0.9427,1
broadcast,16,node_corner_2,192,16,181,0.9427,1
broadcast,16,node_corner_4,188,16,181,0.9628,1
broadcast,16,node_edge_1,196,16,181,0.9235,1
broadcast,16,node_edge_2,196,16,181,0.9235,1
broadcast,16,node_edge_4,196,16,181,0.9235,1
broadcast,16,node_center_1,196,16,181,0.9235,1
broadcast,16,node_center_2,196,16,181,0.9235,1
broadcast,16,node_center_4,196,16,181,0.9235,1
broadcast,16,linkH_corner_1,196,16,181,0.9235,1
broadcast,16,linkH_corner_2,196,16,181,0.9235,1
broadcast,16,linkH_corner_4,196,16,181,0.9235,1
broadcast,16,linkH_edge_1,196,16,181,0.9235,1
broadcast,16,linkH_edge_2,196,16,181,0.9235,1
broadcast,16,linkH_edge_4,196,16,181,0.9235,1
broadcast,16,linkH_center_1,196,16,181,0.9235,1
broadcast,16,linkH_center_2,196,16,181,0.9235,1
broadcast,16,linkH_center_4,196,16,181,0.9235,1
broadcast,16,linkV_corner_1,196,16,181,0.9235,1
broadcast,16,linkV_corner_2,196,16,181,0.9235,1
broadcast,16,linkV_corner_4,196,16,181,0.9235,1
broadcast,16,linkV_edge_1,196,16,181,0.9235,1
broadcast,16,linkV_edge_2,196,16,181,0.9235,1
broadcast,16,linkV_edge_4,196,16,181,0.9235,1
broadcast,16,linkV_center_1,196,16,181,0.9235,1
broadcast,16,linkV_center_2,196,16,181,0.9235,1
broadcast,16,linkV_center_4,200,16,181,0.9050,1
reduce,16,node_corner_1,201,16,181,0.9005,1
reduce,16,node_corner_2,201,16,181,0.9005,1
reduce,16,node_corner_4,196,16,181,0.9235,1
reduce,16,node_edge_1,206,16,181,0.8786,1
reduce,16,node_edge_2,206,16,181,0.8786,1
reduce,16,node_edge_4,206,16,181,0.8786,1
reduce,16,node_center_1,206,16,181,0.8786,1
reduce,16,node_center_2,206,16,181,0.8786,1
reduce,16,node_center_4,206,16,181,0.8786,1
reduce,16,linkH_corner_1,206,16,181,0.8786,1
reduce,16,linkH_corner_2,206,16,181,0.8786,1
reduce,16,linkH_corner_4,206,16,181,0.8786,1
reduce,16,linkH_edge_1,206,16,181,0.8786,1
reduce,16,linkH_edge_2,206,16,181,0.8786,1
reduce,16,linkH_edge_4,206,16,181,0.8786,1
reduce,16,linkH_center_1,206,16,181,0.8786,1
reduce,16,linkH_center_2,206,16,181,0.8786,1
reduce,16,linkH_center_4,206,16,181,0.8786,1
reduce,16,linkV_corner_1,206,16,181,0.8786,1
reduce,16,linkV_corner_2,206,16,181,0.8786,1
reduce,16,linkV_corner_4,206,16,181,0.8786,1
reduce,16,linkV_edge_1,206,16,181,0.8786,1
reduce,16,linkV_edge_2,206,16,181,0.8786,1
reduce,16,linkV_edge_4,218,16,181,0.8303,1
reduce,16,linkV_center_1,206,16,181,0.8786,1
reduce,16,linkV_center_2,206,16,181,0.8786,1
reduce,16,linkV_center_4,221,16,181,0.8190,1
gather,16,node_corner_1,3045,3040,3040,0.9984,1
gather,16,node_corner_2,3029,3024,3024,0.9983,1
gather,16,node_corner_4,2997,2992,2992,0.9983,1
gather,16,node_edge_1,3045,3040,3040,0.9984,1
gather,16,node_edge_2,3029,3024,3024,0.9983,1
gather,16,node_edge_4,2997,2992,2992,0.9983,1
gather,16,node_center_1,3045,3040,3040,0.9984,1
gather,16,node_center_2,3029,3024,3024,0.9983,1
gather,16,node_center_4,2997,2992,2992,0.9983,1
gather,16,linkH_corner_1,3061,3056,3056,0.9984,1
gather,16,linkH_corner_2,3061,3056,3056,0.9984,1
gather,16,linkH_corner_4,3061,3056,3056,0.9984,1
gather,16,linkH_edge_1,3061,3056,3056,0.9984,1
gather,16,linkH_edge_2,3061,3056,3056,0.9984,1
gather,16,linkH_edge_4,3061,3056,3056,0.9984,1
gather,16,linkH_center_1,3061,3056,3056,0.9984,1
gather,16,linkH_center_2,3061,3056,3056,0.9984,1
gather,16,linkH_center_4,3061,3056,3056,0.9984,1
gather,16,linkV_corner_1,3061,3056,3056,0.9984,1
gather,16,linkV_corner_2,3061,3056,3056,0.9984,1
