ring_type,fault_class,region,detail,fault_desc,feasible,ring_is_cycle,ring_len,sacrificed,makespan,golden_makespan,slowdown_pct,eject_ok,busiest_link,reason,hybrid_vband_makespan,hybrid_vband_golden,hybrid_vband_slowdown_pct,hybrid_vband_feasible,hybrid_vband_reason
uni,healthy,-,-,healthy (golden snake ring),yes,True,256,0,1082,1082,0.0,True,255,healthy boustrophedon snake cycle,334,334,0.0,yes,healthy
bi,healthy,-,-,healthy (golden snake ring),yes,True,256,0,558,558,0.0,True,128,healthy boustrophedon snake cycle,334,334,0.0,yes,healthy
uni,link,corner,1,"1 link fault(s) @ corner: (1,0)-(1,1)",yes,True,256,0,1082,1082,0.0,True,255,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
bi,link,corner,1,"1 link fault(s) @ corner: (1,0)-(1,1)",yes,True,256,0,558,558,0.0,True,128,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
uni,link,corner,2,"2 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1)",yes,True,256,0,1082,1082,0.0,True,255,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
bi,link,corner,2,"2 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1)",yes,True,256,0,558,558,0.0,True,128,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
uni,link,corner,3,"3 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1), (1,1)-(2,1)",yes,True,256,0,1082,1082,0.0,True,255,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
bi,link,corner,3,"3 link fault(s) @ corner: (1,0)-(1,1), (2,0)-(2,1), (1,1)-(2,1)",yes,True,256,0,558,558,0.0,True,128,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
uni,link,edge,1,"1 link fault(s) @ edge: (8,0)-(8,1)",yes,True,256,0,1082,1082,0.0,True,255,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
bi,link,edge,1,"1 link fault(s) @ edge: (8,0)-(8,1)",yes,True,256,0,558,558,0.0,True,128,Hamiltonian cycle recovered,300,334,-10.2,yes,latency-estimate
uni,link,edge,2,"2 link fault(s) @ edge: (8,0)-(8,1), (9,0)-(9,1)",yes,True,256,0,1082,1082,0.0,True,255,Hamiltonian cycle recovered,302,334,-9.6,yes,latency-estimate
bi,link,edge,2,"2 link fault(s) @ edge: (8,0)-(8,1), (9,0)-(9,1)",yes,True,256,0,558,558,0.0,True,128,Hamiltonian cycle recovered,302,334,-9.6,yes,latency-estimate
uni,link,edge,3,"3 link fault(s) @ edge: (8,0)-(8,1), (9,0)-(9,1), (8,1)-(9,1)",yes,True,256,0,1090,1082,0.7,True,255,Hamiltonian cycle recovered,569,334,70.4,yes,latency-estimate
