cycle,router,eject,eject_sources,arrive,forward
1,"(0,0)",0,—,0,2
5,"(0,0)",1,1,1,1
9,"(0,0)",2,"12,2",2,2
13,"(0,0)",1,3,1,1
17,"(0,0)",2,"24,4",2,2
21,"(0,0)",1,5,1,1
25,"(0,0)",2,"36,6",2,2
29,"(0,0)",1,7,1,1
33,"(0,0)",2,"48,8",2,2
37,"(0,0)",1,9,1,1
41,"(0,0)",2,"60,10",2,2
45,"(0,0)",1,11,1,1
49,"(0,0)",1,72,1,1
53,"(0,0)",1,23,1,1
57,"(0,0)",2,"84,22",2,2
61,"(0,0)",1,21,1,1
65,"(0,0)",2,"96,20",2,2
69,"(0,0)",1,19,1,1
73,"(0,0)",2,"108,18",2,2
77,"(0,0)",1,17,1,1
81,"(0,0)",2,"120,16",2,2
85,"(0,0)",1,15,1,1
89,"(0,0)",2,"132,14",2,2
93,"(0,0)",1,13,1,1
97,"(0,0)",1,144,1,1
101,"(0,0)",1,25,1,1
105,"(0,0)",2,"156,26",2,2
109,"(0,0)",1,27,1,1
113,"(0,0)",2,"168,28",2,2
117,"(0,0)",1,29,1,1
121,"(0,0)",2,"180,30",2,2
125,"(0,0)",2,"181,31",2,2
129,"(0,0)",2,"182,32",2,2
133,"(0,0)",2,"183,33",2,2
137,"(0,0)",2,"184,34",2,2
141,"(0,0)",2,"185,35",2,2
145,"(0,0)",1,186,1,1
149,"(0,0)",2,"187,47",2,2
153,"(0,0)",2,"188,46",2,2
157,"(0,0)",2,"189,45",2,2
161,"(0,0)",2,"190,44",2,2
165,"(0,0)",2,"191,43",2,2
169,"(0,0)",1,42,1,1
173,"(0,0)",2,"179,41",2,2
177,"(0,0)",2,"178,40",2,2
181,"(0,0)",2,"177,39",2,2
185,"(0,0)",2,"176,38",2,2
189,"(0,0)",2,"175,37",2,2
193,"(0,0)",1,174,1,1
197,"(0,0)",2,"173,49",2,2
201,"(0,0)",2,"172,50",2,2
205,"(0,0)",2,"171,51",2,2
209,"(0,0)",2,"170,52",2,2
213,"(0,0)",2,"169,53",2,2
217,"(0,0)",1,54,1,1
221,"(0,0)",2,"157,55",2,2
225,"(0,0)",2,"158,56",2,2
229,"(0,0)",2,"159,57",2,2
233,"(0,0)",2,"160,58",2,2
237,"(0,0)",2,"161,59",2,2
241,"(0,0)",1,162,1,1
245,"(0,0)",2,"163,71",2,2
249,"(0,0)",2,"164,70",2,2
253,"(0,0)",2,"165,69",2,2
257,"(0,0)",2,"166,68",2,2
261,"(0,0)",2,"167,67",2,2
265,"(0,0)",1,66,1,1
269,"(0,0)",2,"155,65",2,2
273,"(0,0)",2,"154,64",2,2
277,"(0,0)",2,"153,63",2,2
281,"(0,0)",2,"152,62",2,2
285,"(0,0)",2,"151,61",2,2
289,"(0,0)",1,150,1,1
293,"(0,0)",2,"149,73",2,2
297,"(0,0)",2,"148,74",2,2
301,"(0,0)",2,"147,75",2,2
305,"(0,0)",2,"146,76",2,2
309,"(0,0)",2,"145,77",2,2
313,"(0,0)",1,78,1,1
317,"(0,0)",2,"133,79",2,2
321,"(0,0)",2,"134,80",2,2
325,"(0,0)",2,"135,81",2,2
329,"(0,0)",2,"136,82",2,2
333,"(0,0)",2,"137,83",2,2
337,"(0,0)",1,138,1,1
341,"(0,0)",2,"139,95",2,2
