cycle,router,eject,eject_sources,arrive,forward
1,"(0,0)",0,—,0,1
9,"(0,0)",1,12,1,1
17,"(0,0)",1,24,1,1
25,"(0,0)",1,36,1,1
33,"(0,0)",1,48,1,1
41,"(0,0)",1,60,1,1
49,"(0,0)",1,72,1,1
57,"(0,0)",1,84,1,1
65,"(0,0)",1,96,1,1
73,"(0,0)",1,108,1,1
81,"(0,0)",1,120,1,1
89,"(0,0)",1,132,1,1
97,"(0,0)",1,144,1,1
105,"(0,0)",1,156,1,1
113,"(0,0)",1,168,1,1
121,"(0,0)",1,180,1,1
125,"(0,0)",1,181,1,1
129,"(0,0)",1,182,1,1
133,"(0,0)",1,183,1,1
137,"(0,0)",1,184,1,1
141,"(0,0)",1,185,1,1
145,"(0,0)",1,186,1,1
149,"(0,0)",1,187,1,1
153,"(0,0)",1,188,1,1
157,"(0,0)",1,189,1,1
161,"(0,0)",1,190,1,1
165,"(0,0)",1,191,1,1
173,"(0,0)",1,179,1,1
177,"(0,0)",1,178,1,1
181,"(0,0)",1,177,1,1
185,"(0,0)",1,176,1,1
189,"(0,0)",1,175,1,1
193,"(0,0)",1,174,1,1
197,"(0,0)",1,173,1,1
201,"(0,0)",1,172,1,1
205,"(0,0)",1,171,1,1
209,"(0,0)",1,170,1,1
213,"(0,0)",1,169,1,1
221,"(0,0)",1,157,1,1
225,"(0,0)",1,158,1,1
229,"(0,0)",1,159,1,1
233,"(0,0)",1,160,1,1
237,"(0,0)",1,161,1,1
241,"(0,0)",1,162,1,1
245,"(0,0)",1,163,1,1
249,"(0,0)",1,164,1,1
253,"(0,0)",1,165,1,1
257,"(0,0)",1,166,1,1
261,"(0,0)",1,167,1,1
269,"(0,0)",1,155,1,1
273,"(0,0)",1,154,1,1
277,"(0,0)",1,153,1,1
281,"(0,0)",1,152,1,1
285,"(0,0)",1,151,1,1
289,"(0,0)",1,150,1,1
293,"(0,0)",1,149,1,1
297,"(0,0)",1,148,1,1
301,"(0,0)",1,147,1,1
305,"(0,0)",1,146,1,1
309,"(0,0)",1,145,1,1
317,"(0,0)",1,133,1,1
321,"(0,0)",1,134,1,1
325,"(0,0)",1,135,1,1
329,"(0,0)",1,136,1,1
333,"(0,0)",1,137,1,1
337,"(0,0)",1,138,1,1
341,"(0,0)",1,139,1,1
345,"(0,0)",1,140,1,1
349,"(0,0)",1,141,1,1
353,"(0,0)",1,142,1,1
357,"(0,0)",1,143,1,1
365,"(0,0)",1,131,1,1
369,"(0,0)",1,130,1,1
373,"(0,0)",1,129,1,1
377,"(0,0)",1,128,1,1
381,"(0,0)",1,127,1,1
385,"(0,0)",1,126,1,1
389,"(0,0)",1,125,1,1
393,"(0,0)",1,124,1,1
397,"(0,0)",1,123,1,1
401,"(0,0)",1,122,1,1
405,"(0,0)",1,121,1,1
